Actividad Institucional,Adefas,Aprobado,Ciclo,Clave de cartera,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción de la entidad federativa,Descripción de la modalidad del programa presupuestario,Devengado,Ejercicio,Ejercido,Entidad Federativa,Finalidad,Fuente de Financiamiento,Función,Grupo Funcional,Modalidad del Programa presupuestario,Modificado,Objeto del Gasto,Pagado,Programa Presupuestario,Ramo,Subfunción,Tipo de Gasto,Unidad Responsable
10,0.00,"1,140.00",2015,46010,,Recursos fiscales,Transporte,Desarrollo Económico,"Servicios de lavandería, limpieza e higiene",Conservación de infraestructura de caminos rurales y carreteras alimentadoras,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT México,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Estado de México,Proyectos de Inversión,0.00,0.00,,15.0,,1.0,5,3.0,K,0.00,35801.0,0.00,37.0,9,1,3.0,635
11,," 11,019.0 ",2013,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Servicios bancarios y financieros,"Servicios migratorios en fronteras, puertos y aeropuertos",Gobernación,Población,Gasto corriente,Instituto Nacional de Migración,Servicio de Migración y política migratoria,Hidalgo,Prestación de Servicios Públicos," 51,070.0 ",," 51,070.0 ",13.0,1.0,1.0,3,,E,,34101.0,,8.0,4,7,1.0,K00
3,0.00,0.00,2015,1316B000091,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Servicio de energía eléctrica,Rehabilitación y Modernización de Infraestructura de Riego y Temporal Tecnificado,Medio Ambiente y Recursos Naturales,Hidroagrícola,Gasto de obra pública,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,Veracruz,Proyectos de Inversión,"23,333.00","23,333.00",,30.0,,1.0,2,3.0,K,"23,333.00",31101.0,"23,333.00",141.0,16,5,3.0,B00
1,," 35,000 ",2012,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Funerales y pagas de defunción,Actividades de apoyo a la función pública y buen gobierno,Comunicaciones y Transportes,Función Pública,Gasto corriente,Comisión Federal de Telecomunicaciones,Función pública y buen gobierno,Distrito Federal,Apoyo a la función pública y al mejoramiento de la gestión,,, -   ,9.0,1.0,1.0,3,,O,,39101.0,,1.0,9,4,1.0,D00
24," 1,227 "," 45,036 ",2014, 0 ,,Recursos fiscales,"Ciencia, Tecnología e Innovación",Desarrollo Económico,Asignaciones adicionales al sueldo,Investigación y desarrollo tecnológico en salud,Salud,Investigación Científica,Gasto corriente,Hospital Regional de Alta Especialidad de Ixtapaluca,Investigación en salud pertinente y de excelencia académica, Estado de México ,Prestación de Servicios Públicos," 32,280 "," 32,280 ",,15.0,,1.0,8,3.0,E," 32,280 ",15403.0," 31,053 ",22.0,12,1,1.0,NBU
9,, -   ,2012,0,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,"Servicios de lavandería, limpieza e higiene","Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente,Delegación en Hidalgo,"Impulso a la reconversión productiva en materia agrícola, pecuaria y pesquera",Hidalgo,"Planeación, seguimiento y evaluación de políticas públicas",,," 463,176 ",13.0,3.0,1.0,2,,P,,35801.0,,1.0,8,1,1.0,133
3,,0.0,2011,,Desarrollo Social,Recursos fiscales,Educación,,"Cal, yeso y productos de yeso",Programa de Educación inicial y básica para la población rural e indígena,Educación Pública,Educación Básica,Gasto corriente,Consejo Nacional de Fomento Educativo,Educación básica de calidad,,Sujetos a Reglas de Operación,,,10076.0,,2.0,1.0,0,,S,,24301.0,,22.0,11,1,1.0,L6W
7,," 12,926.0 ",2013,0,Desarrollo Económico,Recursos fiscales,Comunicaciones,,Materiales y útiles de impresión y reproducción,Servicios de correo,Comunicaciones y Transportes,Comunicaciones,Gasto corriente,Servicio Postal Mexicano,Telecomunicaciones eficientes y competitivas,Coahuila,Prestación de Servicios Públicos," 12,926.0 ",," 12,926.0 ",5.0,3.0,1.0,6,,E,,21201.0,,12.0,9,1,1.0,J9E
3, -   , -   ,2014, 0 ,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios públicos y la operación de programas públicos","Programa de Rehabilitación, Modernización, Tecnificación y Equipamiento de Unidades de Riego",Medio Ambiente y Recursos Naturales,Hidroagrícola,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones, Colima ,Sujetos a Reglas de Operación," 112,000 "," 112,000 ",,6.0,,1.0,2,3.0,S," 112,000 ",26102.0," 112,000 ",217.0,16,5,7.0,B00
8,, 500.0 ,2013,0,Desarrollo Económico,Recursos fiscales,Comunicaciones,,Refacciones y accesorios menores otros bienes muebles,"Supervisión, inspección y verificación del sistema Nacional e-México",Comunicaciones y Transportes,Comunicaciones,Gasto corriente,Coordinación de la Sociedad de la Información y el Conocimiento,Regulación eficiente de las comunicaciones y los transportes,Distrito Federal,Regulación y supervisión," 11,972.8 ",," 11,972.8 ",9.0,3.0,1.0,6,,G,,29901.0,,7.0,9,1,1.0,116
2,, -   ,2013,0,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Materiales complementarios,Actividades de apoyo administrativo,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente,Agencia de Servicios a la Comercialización y Desarrollo de Mercados Agropecuarios,Servicios de apoyo administrativo,Yucatán,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional," 54,102.9 ",," 54,102.9 ",31.0,3.0,1.0,2,,M,,24801.0,,1.0,8,1,1.0,F00
4, -   ," 6,886,839 ",2014, 0 ,,Recursos fiscales,"Ciencia, Tecnología e Innovación",Desarrollo Económico,"Materiales, accesorios y suministros de laboratorio",Desarrollo tecnológico e innovación y elaboración de publicaciones,Consejo Nacional de Ciencia y Tecnología,Desarrollo Tecnológico,Gasto corriente,Centro de Investigación en Química Aplicada,Generación de desarrollo e innovación tecnológica para elevar la competitividad del país y difusión de sus resultados, Coahuila ,Prestación de Servicios Públicos," 3,186,839 "," 3,186,839 ",,5.0,,1.0,8,3.0,E," 3,186,839 ",25501.0," 3,186,839 ",2.0,38,2,1.0,90U
18,0.00,0.00,2015,0,,Recursos fiscales,Salud,Desarrollo Social,"Materiales, accesorios y suministros de laboratorio",Prestación de servicios en los diferentes niveles de atención a la salud,Salud,Prestación de Servicios de Salud a la Persona,Gasto corriente,"Hospital General ""Dr. Manuel Gea González""",Prestación de servicios del Sistema Nacional de Salud organizados e integrados,Distrito Federal,Prestación de Servicios Públicos,"1,342,602.56","1,342,602.56",,9.0,,1.0,3,2.0,E,"1,342,602.56",25501.0,"1,342,602.56",23.0,12,2,1.0,NBB
1,," 34,046 ",2012,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Previsiones para aportaciones al seguro de cesantía en edad avanzada y vejez,Actualizar el padrón electoral y expedir la credencial para votar,Instituto Federal Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Estado de México,Específicos,,, -   ,15.0,1.0,1.0,3,,R,,16107.0,,5.0,22,6,1.0,200
1,0.00,"75,000.00",2015,0,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Servicios para capacitación a servidores públicos,Actividades de apoyo a la función pública y buen gobierno,Economía,Función Pública,Gasto corriente,Unidad de Contraloría Interna,Función pública y buen gobierno,Distrito Federal,Apoyo a la función pública y al mejoramiento de la gestión,0.00,0.00,,9.0,,1.0,3,1.0,O,0.00,33401.0,0.00,1.0,10,4,1.0,104
2,," 5,994.0 ",2013,0,Gobierno,Recursos fiscales,Justicia,,Impuesto sobre nóminas,Actividades de apoyo administrativo,Tribunales Agrarios,Impartición de Justicia,Gasto corriente,Oficialía Mayor,Servicios de apoyo administrativo,Durango,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional," 3,254.0 ",," 3,254.0 ",10.0,1.0,1.0,2,,M,,39801.0,,1.0,31,1,1.0,300
5, -   ," 16,500 ",2014, 0 ,,Recursos fiscales,Transporte,Desarrollo Económico,Material de limpieza,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Transporte Aéreo,Gasto corriente,Centro SCT Yucatán,Aeropuertos eficientes y competitivos, Yucatán ,Regulación y supervisión," 5,485 "," 5,485 ",,31.0,,1.0,5,3.0,G," 5,485 ",21601.0," 5,485 ",2.0,9,4,1.0,651
2, -   ," 1,623,786 ",2014, 0 ,,Recursos fiscales,Vivienda y Servicios a la Comunidad,Desarrollo Social,Sueldos base,Actividades de apoyo administrativo,Desarrollo Social,Desarrollo Regional,Gasto corriente,Consejo Nacional de Evaluación de la Política de Desarrollo Social,Servicios de apoyo administrativo, Distrito Federal ,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional," 1,602,440 "," 1,602,440 ",,9.0,,1.0,2,2.0,M," 1,602,440 ",11301.0," 1,602,440 ",1.0,20,7,1.0,VQZ
11," 4,901,362 ", -   ,2014, 0 ,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Servicios de vigilancia,"Servicios migratorios en fronteras, puertos y aeropuertos",Gobernación,Población,Gasto corriente,Instituto Nacional de Migración,Servicio de Migración y política migratoria, Chiapas ,Prestación de Servicios Públicos," 19,563,859 "," 19,563,859 ",,7.0,,1.0,3,1.0,E," 19,563,859 ",33801.0," 14,662,496 ",8.0,4,7,1.0,K00
3,,0.0,2011,,Desarrollo Económico,Recursos fiscales,Comunicaciones y Transportes,,Viáticos nacionales para servidores públicos en el desempeño de funciones oficiales,Proyectos de infraestructura económica de carreteras,Comunicaciones y Transportes,Carreteras,Gasto de obra pública,Centro SCT Colima,"Carreteras eficientes, seguras y suficientes",,Proyectos de Inversión,,,60074.0,,3.0,1.0,1,,K,,37504.0,,3.0,9,1,3.0,626
4,0.00,"10,091,630.00",2015,0,,Recursos fiscales,Justicia,Gobierno,Sueldos base,Investigar y perseguir los delitos del orden federal,Procuraduría General de la República,Procuración de Justicia,Gasto corriente,Delegación Estatal en Oaxaca,Investigación del delito federal,Oaxaca,Prestación de Servicios Públicos,"8,914,088.94","8,914,088.94",,20.0,,1.0,2,1.0,E,"8,914,088.94",11301.0,"8,914,088.94",2.0,17,2,1.0,340
3,0.00,"23,100.00",2015,12096410023,,Recursos fiscales,Transporte,Desarrollo Económico,Herramientas menores,Proyectos de infraestructura económica de carreteras,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Puebla,"Carreteras eficientes, seguras y suficientes",Puebla,Proyectos de Inversión,0.00,0.00,,21.0,,1.0,5,3.0,K,0.00,29101.0,0.00,3.0,9,1,3.0,641
3,, -   ,2010,,Desarrollo Social,Recursos fiscales,"Urbanización, Vivienda y Desarrollo Regional",,"Mantenimiento y conservación de vehículos terrestres, aéreos, marítimos, lacustres y fluviales",Rescate de espacios públicos,Desarrollo Social,Urbanización,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Delegación SEDESOL en Veracruz,Apoyo en zonas urbanas marginadas,,Sujetos a Reglas de Operación,,," 10,000.0 ",,2.0,1.0,3,,S,,3506.0,,175.0,20,1,7.0,150
3,," 34,770.0 ",2013,12096260006,Desarrollo Económico,Recursos fiscales,Transporte,,Servicio de energía eléctrica,Proyectos de infraestructura económica de carreteras,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Colima,"Carreteras eficientes, seguras y suficientes",Colima,Proyectos de Inversión," 16,166.0 ",," 16,166.0 ",6.0,3.0,1.0,5,,K,,31101.0,,3.0,9,1,3.0,626
10, -   ," 19,208,000 ",2014, 11096270001 ,,Recursos fiscales,Transporte,Desarrollo Económico,Construcción de vías de comunicación,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Chiapas,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes", Chiapas ,Proyectos de Inversión," 12,905,190 "," 12,905,190 ",,7.0,,1.0,5,3.0,K," 12,905,190 ",62501.0," 12,905,190 ",31.0,9,1,3.0,627
8,0.00,"6,058,670.00",2015,0,,Recursos fiscales,"Recreación, Cultura y Otras Manifestaciones Sociales",Desarrollo Social,Cuotas para el seguro de separación individualizado,Servicios educativos culturales,Educación Pública,Cultura,Gasto corriente,Instituto Nacional de Bellas Artes y Literatura,Fomento y promoción de la cultura,Distrito Federal,Prestación de Servicios Públicos,"3,618,877.24","3,618,877.24",,9.0,,1.0,4,2.0,E,"3,618,877.24",14404.0,"3,618,877.24",42.0,11,2,1.0,E00
10,," 167,301.0 ",2010,,Desarrollo Social,Recursos fiscales,Educación,,Estructuras y manufacturas,Normar los servicios educativos,Educación Pública,Educación Media Superior,Gasto corriente,Dirección General del Bachillerato,Diseño y aplicación de la política educativa,,Regulación y supervisión,,," 74,265.0 ",,2.0,1.0,0,,G,,2402.0,,1.0,11,2,1.0,616
8,,12217.0,2011,,Desarrollo Económico,Recursos fiscales,Comunicaciones y Transportes,,Servicios para capacitación a servidores públicos,Regulación y supervisión del programa de protección y medicina preventiva en transporte multimodal,Comunicaciones y Transportes,Otros,Gasto corriente,Centro SCT Durango,Regulación eficiente de las comunicaciones y los transportes,,Regulación y supervisión,,,3592.0,,3.0,1.0,1,,G,,33401.0,,1.0,9,6,1.0,630
4, -   , -   ,2014, 0 ,,Recursos fiscales,Turismo,Desarrollo Económico,Pasajes aéreos internacionales para servidores públicos en el desempeño de comisiones y funciones oficiales,Planeación y conducción de la política de turismo,Turismo,Turismo,Gasto corriente,Unidad de Coordinación Sectorial y Regional,Turismo con sello propio de calidad hospitalidad y seguridad, Distrito Federal ,"Planeación, seguimiento y evaluación de políticas públicas", -   , -   ,,9.0,,1.0,7,3.0,P, -   ,37106.0, -   ,1.0,21,1,1.0,120
16, -   , -   ,2014, 0 ,,Recursos fiscales,Educación,Desarrollo Social,Subsidios a Entidades Federativas y Municipios,Programa de Escuela Segura,Educación Pública,Educación Básica,Gasto corriente,Dirección General de Desarrollo de la Gestión e Innovación Educativa,Complemento a los servicios educativos, Nayarit ,Sujetos a Reglas de Operación," 3,670,107 "," 3,670,107 ",,18.0,,1.0,5,2.0,S," 3,670,107 ",43801.0," 3,670,107 ",222.0,11,1,1.0,310
5,"15,247.00",0.00,2015,0,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Servicio de agua,"Optimización en el uso, control y aprovechamiento de los inmuebles federales, así como la valuación de bienes nacionales",Función Pública,Preservación y Cuidado del Patrimonio Público,Gasto corriente,Instituto de Administración y Avalúos de Bienes Nacionales,Mejora de la gestión pública,Distrito Federal,Apoyo a la función pública y al mejoramiento de la gestión,"483,062.62","483,062.62",,9.0,,1.0,3,1.0,O,"483,062.62",31301.0,"467,815.62",7.0,27,3,1.0,A00
19,0.00,"78,300.00",2015,0,,Recursos fiscales,Salud,Desarrollo Social,Prima quinquenal por años de servicios efectivos prestados,Formación y desarrollo profesional de recursos humanos especializados para la salud,Salud,Generación de Recursos para la Salud,Gasto corriente,Instituto Nacional de Perinatología Isidro Espinosa de los Reyes,Formación y capacitación de recursos humanos acordes a las necesidades y demandas de atención a la salud,Distrito Federal,Prestación de Servicios Públicos,"94,030.00","94,030.00",,9.0,,1.0,3,2.0,E,"94,030.00",13101.0,"94,030.00",10.0,12,3,1.0,NDE
10,," 8,700.0 ",2013,12096350052,Desarrollo Económico,Recursos fiscales,Transporte,,Servicio telefónico convencional,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT México,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Estado de México,Proyectos de Inversión, -   ,, -   ,15.0,3.0,1.0,5,,K,,31401.0,,31.0,9,1,3.0,635
2,," 8,000.0 ",2013,0,Desarrollo Social,Recursos fiscales,Salud,,Herramientas menores,Actividades de apoyo administrativo,Salud,Rectoría del Sistema de Salud,Gasto corriente,Dirección General de Relaciones Internacionales,Servicios de apoyo administrativo,Distrito Federal,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional," 7,068.2 ",," 7,068.2 ",9.0,2.0,1.0,3,,M,,29101.0,,1.0,12,4,1.0,172
8,," 1,308.0 ",2013,0,Desarrollo Social,Recursos fiscales,Protección Social,,"Plaguicidas, abonos y fertilizantes",Servicios a grupos con necesidades especiales,Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente,Instituto Nacional de las Personas Adultas Mayores,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza",Distrito Federal,Prestación de Servicios Públicos," 2,032.0 ",," 2,032.0 ",9.0,2.0,1.0,6,,E,,25201.0,,3.0,20,8,1.0,V3A
24,0.00,"1,787,268.00",2015,0,,Recursos fiscales,"Ciencia, Tecnología e Innovación",Desarrollo Económico,Impuesto sobre nóminas,Investigación y desarrollo tecnológico en salud,Salud,Investigación Científica,Gasto corriente,Instituto Nacional de Medicina Genómica,Investigación en salud pertinente y de excelencia académica,Distrito Federal,Prestación de Servicios Públicos,"2,228,819.00","2,228,819.00",,9.0,,1.0,8,3.0,E,"2,228,819.00",39801.0,"2,228,819.00",22.0,12,1,1.0,NCH
