ACTIVIDAD_INST_DESCRIPCION,AI,Actividad Institucional,CLAVE_CARTERA,CONCEPTO,CONCEPTO_DESCRIPCION,Ciclo,Clave de Cartera,Descripción de Actividad Institucional,Descripción de Entidad Federativa,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción del Identificador de Programa Presupuestario,Descripción del Identificador del Programa Presupuestario,Descripciónde Fuente de Financiamiento,Descripciónde Tipo de Gasto,EF,ENTIDAD_FED_DESCRIPCION,Entidad Federativa,FF,FN,FUENTE_FINAN_DESCRIPCION,FUNCIONL_DESCRIPCION,Finalidad,Fuente de Financiamiento,Función,GF,GRUPO_FUN_DESCRIPCION,Grupo Funcional,Identificador de Programa Presupuestario,Identificador del Programa Presupuestario,Importe Presupuesto de Egresos de la Federación (PEF),MOD,MODALIDAD_DESCRIPCION,Objeto del Gasto,PEF_2016,PP,PROGR_PRES_DESCRIPCION,Programa Presupuestario,RA,RAMO_DESCRIPCION,REASIGNACION_DESCRIPCION,Ramo,SF,SUBFUNCIONL_DESCRIPCION,Subfunción,TG,TIPO_GASTO_DESCRIPCION,Tipo de Gasto,UNIDAD,UNIDAD_DESCRIPCION,Unidad Responsable,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
Servicios de apoyo administrativo,2.0,,0,2400.0,Materiales y art¡culos de construcci¢n y de reparaci¢n,2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,5.0,Recursos fiscales,Educaci¢n,,,,2.0,Desarrollo Social,,,,,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,," 59,064 ",1.0,Actividades de apoyo administrativo,,0.0,Educaci¢n P£blica,Otros,11,1.0,Educaci¢n B sica,,1.0,Gasto corriente,,L6J,Comisi¢n Nacional de Libros de Texto Gratuitos,,,,,,,,
,,7.0,,,,2012.0,,,,Desarrollo Social,Recursos fiscales,Protección Ambiental,,Servicios de arrendamiento,"Planeación, Dirección y Evaluación Ambiental",Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Subsecretaría de Planeación y Política Ambiental,Regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales.,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,2.0,1.0,1.0,,,,,P,4038285.0,,,3200.0,,,,2.0,,,,16,,,6.0,,,1.0,,,400,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11.0,,,,2015.0,0,,Baja California Sur,Desarrollo Social,Recursos fiscales,Protección Social,,Remuneraciones al personal de carácter transitorio,Créditos a Corto y Mediano Plazo,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros de Seguridad Social y Asistencia Social,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestaciones sociales y culturales,,Prestación de Servicios Públicos,,,,,3.0,,,,,2.0,1.0,6.0,,,,,E,"$21,669.00",,,1200.0,,,,37.0,,,,51,,,9.0,,,1.0,,,GYN,,,,,,,
Regulaci¢n eficiente de las telecomunicaciones,8.0,,0,6200.0,Obra p£blica en bienes propios,2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,6.0,Recursos fiscales,Comunicaciones,,,,3.0,Desarrollo Econ¢mico,,,,,G,Regulaci¢n y supervisi¢n,," 3,480,000 ",4.0,Regulaci¢n y Supervisi¢n de losÿsectores Telecomunicaciones y Radiodifusi¢n,,0.0,Instituto Federal de Telecomunicaciones,Otros,43,1.0,Comunicaciones,,3.0,Gasto de obra p£blica,,224,Unidad de Medios y Contenidos Audiovisuales,,,,,,,,
Estudio y Divulgaci¢n de los Derechos Humanos,3.0,,0,1400.0,Seguridad social,2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,2.0,Recursos fiscales,Justicia,,,,1.0,Gobierno,,,,,E,Prestaci¢n de Servicios P£blicos,," 4,756,216 ",18.0,"Coordinar las publicaciones, realizar investigaciones, promover la formaci¢n acadmica y ofrecer servicios bibliohemerogr ficos en materia de Derechos Humanos",,0.0,Comisi¢n Nacional de los Derechos Humanos,Otros,35,4.0,Derechos Humanos,,1.0,Gasto corriente,,108,Centro Nacional de Derechos Humanos,,,,,,,,
,,6.0,,,,2009.0,,Ferrocarriles eficientes y competitivos,,,,Comunicaciones y Transportes,Desarrollo Económico,Gratificación de fin de año,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Ferrocarriles,,Centro SCT Puebla,,Regulación y supervisión,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,1.0,,,3.0,G,,9141.0,,,1306.0,,,,2.0,,,,9,,,4.0,,,1.0,,,641,,,,,,,
,,2.0,,,,2015.0,0,,Zacatecas,Desarrollo Social,Ingresos Propios,Salud,,"Servicios financieros, bancarios y comerciales",Actividades de apoyo administrativo,Instituto Mexicano del Seguro Social,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto Mexicano del Seguro Social,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,32.0,,,,,2.0,4.0,3.0,,,,,M,"$57,154.00",,,3400.0,,,,1.0,,,,50,,,2.0,,,1.0,,,GYR,,,,,,,
,,8.0,,,,2014.0,,,,Desarrollo Social,Recursos fiscales,Protección Social,,Otras prestaciones sociales y economicas,"Definición y conducción de la política del desarrollo social y comunitario, así como la participación social",Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente,Unidad de Planeación y Relaciones Internacionales,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza",,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,2.0,1.0,6.0,,,,,P,"27,689.00",,,1500.0,,,,2.0,,,,20,,,8.0,,,1.0,,,613,,,,,,,
"Democracia preservada y fortalecida mediante la organizaci¢n de elecciones federales, el fomento de la participaci¢n ciudadana y la promoci¢n del desarrollo del sistema de partidos",1.0,,0,1600.0,Previsiones,2016.0,,,,,,,,,,,,,,,,,,,4.0,Campeche,,1.0,3.0,Recursos fiscales,Coordinaci¢n de la Pol¡tica de Gobierno,,,,1.0,Gobierno,,,,,R,Espec¡ficos,," 237,789 ",5.0,Actualizaci¢n del padr¢n electoral y expedici¢n deÿla credencial para votar,,0.0,Instituto Nacional Electoral,Otros,22,6.0,Organizaci¢n de Procesos Electorales,,1.0,Gasto corriente,,200,Juntas Locales Ejecutivas,,,,,,,,
,,8.0,,,,2008.0,,Regulación eficiente de las comunicaciones y los transportes,,,Recursos fiscales,Comunicaciones y  Transportes,Desarrollo Económico,Primas de vacaciones y dominical,Definición y conducción de la política de comunicaciones y transportes,Comunicaciones y Transportes,Comunicaciones,Gasto corriente,Centro SCT Guanajuato,,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",,,,,,,,,,,,1.0,1.0,,,3.0,P,,26615.0,,,1305.0,,,,1.0,,,,9,,,5.0,,,1.0,,,631,,,,,,,
,,4.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,Turismo,,"Servicios de instalacion, reparacion, mantenimiento y conservacion",Planeación y conducción de la política de turismo,Turismo,Turismo,Gasto corriente,Subsecretaría de Operación Turística,Turismo con sello propio de calidad hospitalidad y seguridad,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,3.0,1.0,7.0,,,,,P,"6,027.00",,,3500.0,,,,1.0,,,,21,,,1.0,,,1.0,,,200,,,,,,,
,,5.0,,,,2015.0,0,,Tamaulipas,Desarrollo Social,Recursos fiscales,Salud,,Remuneraciones al personal de carácter transitorio,Investigación Científica y Tecnológica,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros Servicios de Salud,,Prestación de Servicios Públicos,,,,,28.0,,,,,2.0,1.0,3.0,,,,,E,"$2,336.00",,,1200.0,,,,15.0,,,,51,,,2.0,,,1.0,,,GYN,,,,,,,
,,1.0,,,,2015.0,0,,Chiapas,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Ayudas sociales,Actualización del padrón electoral y expedición de la credencial para votar,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",,Específicos,,,,,7.0,,,,,1.0,1.0,3.0,,,,,R,"$9,000.00",,,4400.0,,,,5.0,,,,22,,,6.0,,,1.0,,,200,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.0,,,,2012.0,,,,Gobierno,Recursos fiscales,Asuntos Financieros y Hacendarios,,Otras prestaciones sociales y economicas,"Diseño e instrumentación de las políticas y estrategias en materia de programación, presupuesto, gasto público federal, contabilidad y rendición de cuentas de la gestión del sector público",Hacienda y Crédito Público,Asuntos Hacendarios,Gasto corriente,"Dirección General de Programación y Presupuesto ""A""",Gasto público transparente y orientado a resultados,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,1.0,1.0,5.0,,,,,P,44184556.0,,,1500.0,,,,2.0,,,,6,,,2.0,,,1.0,,,416,,,,,,,
,,3.0,,,,2009.0,,Apoyo en zonas urbanas marginadas,,,,"Urbanización, Vivienda y Desarrollo Regional",Desarrollo Social,Subsidios a la producción,Rescate de espacios públicos,Desarrollo Social,Urbanización,,Delegación SEDESOL en Oaxaca,,Sujetos a Reglas de Operación,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,3.0,,,2.0,S,,10000000.0,,,4101.0,,,,175.0,,,,20,,,1.0,,,1.0,,,140,,,,,,,
,,4.0,,,,2010.0,,,,Gobierno,Recursos fiscales,Relaciones Exteriores,,Servicios Oficiales,"Promoción y defensa de los intereses de México en el exterior, en los ámbitos bilateral y regional",Relaciones Exteriores,Relaciones Exteriores,Gasto corriente,Dirección General de Organismos y Mecanismos Regionales Americanos,Vínculos políticos con el exterior que benefician los intereses nacionales,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,1.0,1.0,2.0,,,,,P,1635866.0,,,3800.0,,,,4.0,,,,5,,,1.0,,,1.0,,,311,,,,,,,
,,4.0,,,,2008.0,,Turismo con sello propio de calidad hospitalidad y seguridad,,,Recursos fiscales,Turismo,Desarrollo Económico,Estímulos al personal operativo,Establecer y conducir la política de turismo,Turismo,Turismo,Gasto corriente,Subsecretaría de Operación Turística,,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",,,,,,,,,,,,1.0,6.0,,,3.0,P,,156708.0,,,1702.0,,,,1.0,,,,21,,,1.0,,,1.0,,,200,,,,,,,
,,3.0,,,,2015.0,0,,Chiapas,Desarrollo Social,Ingresos Propios,Salud,,Remuneraciones al personal de carácter permanente,Consulta Bucal,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Cobertura de la atención médica preventiva,,Prestación de Servicios Públicos,,,,,7.0,,,,,2.0,4.0,3.0,,,,,E,"$1,319,828.00",,,1100.0,,,,7.0,,,,51,,,2.0,,,1.0,,,GYN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.0,,,,2008.0,,"Micro, Pequeñas y Medianas Empresas producctivas y competitivas",,,Recursos fiscales,Temas Empresariales,Desarrollo Económico,Primas de vacaciones y dominical,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,"Micro, Pequeñas y Medianas Empresas",Gasto corriente,Delegación en Michoacán,,Prestación de servicios públicos,,,,,,,,,,,,1.0,4.0,,,3.0,E,,75712.0,,,1305.0,,,,9.0,,,,10,,,1.0,,,1.0,,,136,,,,,,,
,,17.0,,,,2014.0,,,,Desarrollo Social,Contraparte nacional,Otros Asuntos Sociales,,Servicios oficiales,Actividades orientadas a ofrecer productos y servicios para fortalecer el sector y fomentar la inclusión Financiera,Hacienda y Crédito Público,Otros Asuntos Sociales,Gasto de capital diferente de obra pública,"Banco del Ahorro Nacional y Servicios Financieros, S.N.C.",Ahorro y crédito popular,,Promoción y fomento,,,,,,,,,,2.0,3.0,7.0,,,,,F,"1,361,000.00",,,3800.0,,,,6.0,,,,6,,,1.0,,,2.0,,,HJO,,,,,,,
,,9.0,,,,2015.0,0,,Michoacán,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Remuneraciones adicionales y especiales,"Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente,Delegación en Michoacán,"Impulso a la reconversión productiva en materia agrícola, pecuaria y pesquera",,"Planeación, seguimiento y evaluación de políticas públicas",,,,,16.0,,,,,3.0,1.0,2.0,,,,,P,"$821,100.00",,,1300.0,,,,1.0,,,,8,,,1.0,,,1.0,,,136,,,,,,,
,,10.0,,,,2015.0,10096360017,,Michoacán,Desarrollo Económico,Recursos fiscales,Transporte,,Materiales y artículos de construcción y de reparación,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Michoacán,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,16.0,,,,,3.0,1.0,5.0,,,,,K,"$1,200.00",,,2400.0,,,,31.0,,,,9,,,1.0,,,3.0,,,636,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,2015.0,0,,Distrito Federal,Desarrollo Económico,Recursos fiscales,Transporte,,"Materiales de administración, emisión de documentos y artículos oficiales",Actividades de apoyo administrativo,Comunicaciones y Transportes,Otros Relacionados con Transporte,Gasto corriente,Centro SCT Nuevo León,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,9.0,,,,,3.0,1.0,5.0,,,,,M,"$25,000.00",,,2100.0,,,,1.0,,,,9,,,6.0,,,1.0,,,639,,,,,,,
Investigaci¢n en salud pertinente y de excelencia acadmica,24.0,,0,3300.0,"Servicios profesionales, cient¡ficos, tcnicos y otros servicios",2016.0,,,,,,,,,,,,,,,,,,,20.0,Oaxaca,,4.0,8.0,Ingresos Propios,"Ciencia, Tecnolog¡a e Innovaci¢n",,,,3.0,Desarrollo Econ¢mico,,,,,E,Prestaci¢n de Servicios P£blicos,," 1,573 ",4.0,Investigaci¢n y desarrollo tecnol¢gico en salud,,0.0,Instituto Mexicano del Seguro Social,Otros,50,1.0,Investigaci¢n Cient¡fica,,1.0,Gasto corriente,,GYR,Instituto Mexicano del Seguro Social,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5.0,,,,2015.0,0,,Tamaulipas,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Remuneraciones adicionales y especiales,Ejecución a nivel nacional de los programas y acciones de la Política Laboral,Trabajo y Previsión Social,Asuntos Laborales Generales,Gasto corriente,Delegación Federal del Trabajo en Tamaulipas,Instrumentación de la política Laboral,,Prestación de Servicios Públicos,,,,,28.0,,,,,3.0,1.0,1.0,,,,,E,"$161,975.00",,,1300.0,,,,3.0,,,,14,,,2.0,,,1.0,,,148,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19.0,,,,2010.0,,,,Desarrollo Social,Recursos fiscales,Salud,,Erogaciones del Gobierno Federal por Concepto de Seguridad Social y Seguros,Capacitación técnica y gerencial de recursos humanos para la salud,Salud,Generación de Recursos para la Salud,Gasto corriente,Instituto Nacional de Rehabilitación,Formación y capacitación de recursos humanos acordes a las necesidades y demandas de atención a la salud,,Prestación de Servicios Públicos,,,,,,,,,,2.0,1.0,1.0,,,,,E,502348.0,,,1400.0,,,,19.0,,,,12,,,3.0,,,1.0,,,NDF,,,,,,,
,,19.0,,,,2010.0,,,,Desarrollo Social,Recursos fiscales,Salud,,Remuneraciones Adicionales y Especiales,Formación de recursos humanos especializados para la salud (Hospitales),Salud,Generación de Recursos para la Salud,Gasto corriente,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,Formación y capacitación de recursos humanos acordes a las necesidades y demandas de atención a la salud,,Prestación de Servicios Públicos,,,,,,,,,,2.0,1.0,1.0,,,,,E,7485573.0,,,1300.0,,,,10.0,,,,12,,,3.0,,,1.0,,,NCD,,,,,,,
,,7.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Seguridad social,Protección de los derechos de los consumidores y el desarrollo del Sistema Nacional de Protección al Consumidor,Economía,Asuntos Económicos y Comerciales en General,Gasto corriente,Procuraduría Federal del Consumidor,Equidad en las relaciones de consumo,,Prestación de Servicios Públicos,,,,,,,,,,3.0,1.0,1.0,,,,,E,"1,872,095.00",,,1400.0,,,,5.0,,,,10,,,1.0,,,1.0,,,LAT,,,,,,,
,,6.0,,,,2012.0,,,,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,"Servicios financieros, bancarios y comerciales","Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente,Fondo de Empresas Expropiadas del Sector Azucarero,Elevar el ingreso de los productores y el empleo rural,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,3.0,1.0,2.0,,,,,P,3500.0,,,3400.0,,,,1.0,,,,8,,,1.0,,,1.0,,,I6U,,,,,,,
,,7.0,,,,2012.0,,,,Desarrollo Social,Recursos fiscales,Protección Ambiental,,"Combustibles, lubricantes y aditivos",Regulación Ambiental,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Delegación Federal en Sonora,Regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales.,,Regulación y supervisión,,,,,,,,,,2.0,1.0,1.0,,,,,G,155325.0,,,2600.0,,,,3.0,,,,16,,,6.0,,,1.0,,,146,,,,,,,
,,1.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Otras prestaciones sociales y económicas,Actividades de apoyo a la función pública y buen gobierno,Educación Pública,Función Pública,Gasto corriente,Fondo de Cultura Económica,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,,,,9.0,,,,,1.0,1.0,3.0,,,,,O,"$35,307.00",,,1500.0,,,,1.0,,,,11,,,4.0,,,1.0,,,MAR,,,,,,,
,,21.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Justicia,,"Servicios de instalación, reparación, mantenimiento y conservación",Administración del sistema federal penitenciario,Gobernación,Reclusión y Readaptación Social,Gasto corriente,Prevención y Readaptación Social,Sistema penitenciario que garantice la ejecución de las resoluciones jurídicas y contribuya a la readaptación social,,Prestación de Servicios Públicos,,,,,9.0,,,,,1.0,1.0,2.0,,,,,E,"$1,500,000.00",,,3500.0,,,,904.0,,,,4,,,3.0,,,1.0,,,D00,,,,,,,
,,8.0,,,,2015.0,0,,Distrito Federal,Desarrollo Social,Recursos fiscales,"Recreación, Cultura y Otras Manifestaciones Sociales",,"Herramientas, refacciones y accesorios menores",Otorgamiento y promoción de servicios cinematográficos,Educación Pública,Cultura,Gasto corriente,Fideicomiso para la Cineteca Nacional,Fomento y promoción de la cultura,,Prestación de Servicios Públicos,,,,,9.0,,,,,2.0,1.0,4.0,,,,,E,"$125,000.00",,,2900.0,,,,22.0,,,,11,,,2.0,,,1.0,,,L9Y,,,,,,,
,,4.0,,,,2009.0,,Investigación del delito federal,,,,"Orden, Seguridad y Justicia",Gobierno,Aportaciones al Sistema de Ahorro para el Retiro,Combate a la delincuencia organizada,Procuraduría General de la República,Procuración de Justicia,,Unidad Especializada en Investigación de Asalto y Robo de Vehículos,,Prestación de Servicios Públicos,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,6.0,,,1.0,E,,25442.0,,,1413.0,,,,3.0,,,,17,,,3.0,,,1.0,,,415,,,,,,,
,,2.0,,,,2015.0,0,,Distrito Federal,Desarrollo Social,Recursos fiscales,Salud,,"Productos químicos, farmacéuticos y de laboratorio",Actividades de apoyo administrativo,Salud,Generación de Recursos para la Salud,Gasto corriente,Centro Nacional de Trasplantes,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,9.0,,,,,2.0,1.0,3.0,,,,,M,"$1,000.00",,,2500.0,,,,1.0,,,,12,,,3.0,,,1.0,,,Q00,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.0,,,,2009.0,,Investigación del delito federal,,,,"Orden, Seguridad y Justicia",Gobierno,Medicinas y productos farmacéuticos,Combate a delitos del fuero federal,Procuraduría General de la República,Procuración de Justicia,,Instituto de Capacitación y Profesionalización en Procuración de Justicia Federal,,Prestación de Servicios Públicos,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,6.0,,,1.0,E,,34704.0,,,2504.0,,,,2.0,,,,17,,,3.0,,,1.0,,,B00,,,,,,,
,,17.0,,,,2008.0,,Apoyo jurídico a la Secretaría de Gobernación,,,Recursos fiscales,Gobernación,Gobierno,Cuotas para el seguro colectivo de retiro,Defensa jurídica de la Secretaría de Gobernación y compilación jurídica nacional y testamentaria ciudadana,Gobernación,Política Interior,Gasto corriente,Subsecretaría de Asuntos Jurídicos y Derechos Humanos,,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",,,,,,,,,,,,1.0,4.0,,,1.0,P,,5238.0,,,1408.0,,,,9.0,,,,4,,,2.0,,,1.0,,,900,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.0,,,,2011.0,,,,Desarrollo Social,Recursos fiscales,Agua Potable y Alcantarillado,,Subsidios y subvenciones,Programa para la Construcción y Rehabilitación de Sistemas de Agua Potable y Saneamiento en Zonas Rurales,Medio Ambiente y Recursos Naturales,"Suministro de Agua Potable, Drenaje y Alcantarillado",Gasto de capital diferente de obra pública,Organismo de Cuenca Balsas,Manejo eficiente y sustentable del agua y prevención de inundaciones,,Sujetos a Reglas de Operación,,,,,,,,,,2.0,1.0,4.0,,,,,S,37035251.0,,,4300.0,,,,75.0,,,,16,,,1.0,,,2.0,,,B21,,,,,,,
,,8.0,,,,2014.0,,,,Desarrollo Social,Recursos fiscales,"Recreación, Cultura y Otras Manifestaciones Sociales",,Seguridad social,"Incorporación, restauración, conservación y mantenimiento de bienes patrimonio de la Nación",Educación Pública,Cultura,Gasto corriente,Instituto Nacional de Antropología e Historia,Fomento y promoción de la cultura,,Prestación de Servicios Públicos,,,,,,,,,,2.0,1.0,4.0,,,,,E,"22,553,707.00",,,1400.0,,,,12.0,,,,11,,,2.0,,,1.0,,,D00,,,,,,,
